Date,UNRATE
2000-01-03,4.010712314322416
2000-01-04,4.015899154858333
2000-01-05,4.020968342581856
2000-01-06,4.025916296196329
2000-01-07,4.030739434405103
2000-01-10,4.044424143630704
2000-01-11,4.048712207250157
2000-01-12,4.05285754898065
2000-01-13,4.05685658752553
2000-01-14,4.060705741588147
2000-01-17,4.071318083915891
2000-01-18,4.074531887082929
2000-01-19,4.077577899284445
2000-01-20,4.080452539223784
2000-01-21,4.083152225604295
2000-01-24,4.090165750426337
2000-01-25,4.092129809605016
2000-01-26,4.093901008741605
2000-01-27,4.095475766539454
2000-01-28,4.09685050170191
2000-01-31,4.099738758410406
2000-02-01,4.100277590064772
2000-02-02,4.100598492600487
2000-02-03,4.100697884720898
2000-02-04,4.100572185129351
2000-02-07,4.098808723116454
2000-02-08,4.097746843710562
2000-02-09,4.096441966109454
2000-02-10,4.094890509016476
2000-02-11,4.093088891134979
2000-02-14,4.086147259792843
2000-02-15,4.083309185790744
2000-02-16,4.080203044516864
2000-02-17,4.076825254674551
2000-02-18,4.073172234967153
2000-02-21,4.060525983687934
2000-02-22,4.055736231553678
2000-02-23,4.050653343071077
2000-02-24,4.04527373694348
2000-02-25,4.039593831874234
2000-02-28,4.020716510050085
2000-02-29,4.013799596247725
2000-03-01,4.006564477020455
2000-03-02,3.999007586345287
2000-03-03,3.991135552986279
2000-03-06,3.965992210645784
2000-03-07,3.957232643364997
2000-03-08,3.948349163294168
2000-03-09,3.9393809587094535
2000-03-10,3.930367217887018
2000-03-13,3.903444660754988
2000-03-14,3.894640657743272
2000-03-15,3.885987059874637
2000-03-16,3.877523055425244
2000-03-17,3.8692878326712536
2000-03-20,3.8463467373433056
2000-03-21,3.8394185241325327
2000-03-22,3.832915033997966
2000-03-23,3.826875455215766
2000-03-24,3.8213389760620937
2000-03-27,3.8081400191338464
2000-03-28,3.8050078212558898
2000-03-29,3.802574664387264
2000-03-30,3.80087973680413
2000-03-31,3.799962226782647
2000-04-03,3.802196524235906
2000-04-04,3.8045702341645775
2000-04-05,3.807685804027037
2000-04-06,3.8114964709797934
2000-04-07,3.815955472179362
2000-04-10,3.832754852824056
2000-04-11,3.83933956257599
2000-04-12,3.846338792357298
2000-04-13,3.853705779324491
2000-04-14,3.861393760634082
2000-04-17,3.885916042182364
2000-04-18,3.8944203724266697
2000-04-19,3.9030118827959344
2000-04-20,3.9116438104466713
2000-04-21,3.920269392535392
2000-04-24,3.9456404369945854
2000-04-25,3.9537730084003697
2000-04-26,3.961665420026699
2000-04-27,3.969270909030088
2000-04-28,3.976542712567048
2000-05-01,3.995888381944477
2000-05-02,4.001358006409372
2000-05-03,4.00628195007018
2000-05-04,4.010675824936659
2000-05-05,4.014559803349196
2000-05-08,4.023354083267012
2000-05-09,4.025400199267638
2000-05-10,4.027037280516255
2000-05-11,4.028285499353243
2000-05-12,4.029165028118991
2000-05-15,4.029793197392657
2000-05-16,4.029399689277304
2000-05-17,4.028738352792643
2000-05-18,4.027829360279059
2000-05-19,4.026692884076935
2000-05-22,4.0221202767432
2000-05-23,4.020275589190786
2000-05-24,4.018304279651765
2000-05-25,4.016226520466522
2000-05-26,4.014062483975445
2000-05-29,4.0072544340710605
2000-05-30,4.0049470117605015
2000-05-31,4.002654173846039
2000-06-01,4.000396092668056
2000-06-02,3.998191871593457
2000-06-05,3.992007420076078
2000-06-06,3.990117474486252
2000-06-07,3.988327693133983
2000-06-08,3.986646713087017
2000-06-09,3.9850831714130974
2000-06-12,3.9811835473070656
2000-06-13,3.9801761298027794
2000-06-14,3.979329336010263
2000-06-15,3.978651802997261
2000-06-16,3.978152167831518
2000-06-19,3.977807020095289
2000-06-20,3.978105346996028
2000-06-21,3.978624757082749
2000-06-22,3.979373887423197
2000-06-23,3.980361375085116
2000-06-26,3.984840352677145
2000-06-27,3.986867640302394
2000-06-28,3.989176470587837
2000-06-29,3.99177548060122
2000-06-30,3.994673307410285
2000-07-03,4.005227357396904
2000-07-04,4.009330176735903
2000-07-05,4.013674573184734
2000-07-06,4.018227107924934
2000-07-07,4.022954342138038
2000-07-10,4.037849853430139
2000-07-11,4.042941497350223
2000-07-12,4.048040646650892
2000-07-13,4.053113862513683
2000-07-14,4.058127706120132
2000-07-17,4.072478615216788
2000-07-18,4.07692058161323
2000-07-19,4.081135981661011
2000-07-20,4.085091376541666
2000-07-21,4.088753327436732
2000-07-24,4.09764412802376
2000-07-25,4.099797914791833
2000-07-26,4.101491063481998
2000-07-27,4.10269013527579
2000-07-28,4.103361691354747
2000-07-31,4.101876877117966
2000-08-01,4.100103982152941
2000-08-02,4.097646910661495
2000-08-03,4.094531539873916
2000-08-04,4.090797859404152
2000-08-07,4.076286870246827
2000-08-08,4.070479861393403
2000-08-09,4.064254498030332
2000-08-10,4.057650771192127
2000-08-11,4.050708671913292
2000-08-14,4.028252049778105
2000-08-15,4.020356371081841
2000-08-16,4.012322275117492
2000-08-17,4.0041897529195625
2000-08-18,3.995998795522564
2000-08-21,3.9714752224822254
2000-08-22,3.963450434634028
2000-08-23,3.955567166759301
2000-08-24,3.9478654098925534
2000-08-25,3.940385155068293
2000-08-28,3.919673313195518
2000-08-29,3.913478976886289
2000-08-30,3.9077060977920897
2000-08-31,3.9023946669474254
2000-09-01,3.8975833016103407
2000-09-04,3.886127930959323
2000-09-05,3.8832364660988232
2000-09-06,3.8807749699914655
2000-09-07,3.878723326282184
2000-09-08,3.877061418615914
2000-09-11,3.874212948324504
2000-09-12,3.873908821279613
2000-09-13,3.8738938485024033
2000-09-14,3.874147913637807
