Date,Open,Close,20SMA,5SMA,Lag1,Lag2,Lag3,Dollar,UMCSENT,UNRATE
2007-02-01,1437.9000244140625,1445.93994140625,1425.6279846191405,1431.1599853515625,1438.239990234375,1428.8199462890625,1420.6199951171875,2.9487500190734863,91.13879597299356,4.493911471744374
2007-02-02,1445.93994140625,1448.3900146484375,1427.1304870605468,1436.4019775390625,1445.93994140625,1438.239990234375,1428.8199462890625,3.001667022705078,90.95875976350648,4.487766340499207
2007-02-05,1448.3299560546875,1446.989990234375,1428.9944885253906,1441.6759765625,1448.3900146484375,1445.93994140625,1438.239990234375,3.0625,90.4773704525616,4.469907191375449
2007-02-06,1446.97998046875,1448.0,1430.752490234375,1445.5119873046874,1446.989990234375,1448.3900146484375,1445.93994140625,2.995832920074463,90.33504729711576,4.464190135272497
2007-02-07,1447.4100341796875,1450.02001953125,1432.6479919433593,1447.8679931640625,1448.0,1446.989990234375,1448.3900146484375,3.0587499141693115,90.20107753695297,4.458613032005882
2007-02-08,1449.989990234375,1448.31005859375,1434.32099609375,1448.3420166015626,1450.02001953125,1448.0,1446.989990234375,3.028749942779541,90.07503122478244,4.453189055195927
2007-02-09,1448.25,1438.06005859375,1435.0330017089843,1446.276025390625,1448.31005859375,1450.02001953125,1448.0,3.132499933242798,89.95647841331323,4.447931378462946
2007-02-12,1438.0,1433.3699951171875,1435.1650024414062,1443.5520263671874,1438.06005859375,1448.31005859375,1450.02001953125,2.9458329677581787,89.64148151020498,4.433287884928989
2007-02-13,1433.219970703125,1444.260009765625,1435.7830017089843,1442.8040283203125,1433.3699951171875,1438.06005859375,1448.31005859375,2.936666965484619,89.54860322863242,4.428827144707051
2007-02-14,1443.9100341796875,1455.300048828125,1437.0170043945313,1443.8600341796875,1444.260009765625,1433.3699951171875,1438.06005859375,2.987499952316284,89.46106871130678,4.424598572663662
2007-02-15,1455.1500244140625,1456.81005859375,1438.5390075683595,1445.5600341796876,1455.300048828125,1444.260009765625,1433.3699951171875,3.0758330821990967,89.37844801093728,4.420615342419136
2007-02-16,1456.77001953125,1455.5400390625,1439.7910095214843,1449.0560302734375,1456.81005859375,1455.300048828125,1444.260009765625,3.072499990463257,89.30031118023297,4.416890627593792
2007-02-20,1455.530029296875,1459.6800537109375,1441.6275146484375,1454.3180419921875,1455.5400390625,1456.81005859375,1455.300048828125,2.992083072662353,89.02400360825027,4.404840394890524
2007-02-21,1459.5999755859375,1457.6300048828125,1443.1095153808594,1456.992041015625,1459.6800537109375,1455.5400390625,1456.81005859375,3.015000104904175,88.96183691650887,4.40260586146581
2007-02-22,1457.2900390625,1456.3800048828125,1443.9220153808594,1457.2080322265624,1457.6300048828125,1459.6800537109375,1455.5400390625,3.1533329486846924,88.9015744106874,4.400708885182168
2007-02-23,1456.219970703125,1451.18994140625,1445.2865112304687,1456.0840087890624,1456.3800048828125,1457.6300048828125,1459.6800537109375,3.191667079925537,88.84278614349503,4.399162639659915
2007-02-26,1451.0400390625,1449.3699951171875,1446.6460083007812,1454.85,1451.18994140625,1456.3800048828125,1457.6300048828125,3.18416690826416,88.67096730078356,4.396760023864635
2007-02-27,1449.25,1399.0400390625,1445.5670104980468,1442.7219970703125,1449.3699951171875,1451.18994140625,1456.3800048828125,3.0737500190734863,88.61377651519871,4.396748437591086
2007-02-28,1398.6400146484375,1406.8199462890625,1444.4670104980469,1432.5599853515625,1399.0400390625,1449.3699951171875,1451.18994140625,2.993750095367432,88.55591023178856,4.3971534501805
2007-03-01,1406.800048828125,1403.1700439453125,1442.7135131835937,1421.9179931640624,1406.8199462890625,1399.0400390625,1449.3699951171875,2.795833110809326,88.4969385032622,4.397988235253195
2007-03-02,1403.1600341796875,1387.1700439453125,1439.7750183105468,1409.114013671875,1403.1700439453125,1406.8199462890625,1399.0400390625,2.875833034515381,88.43643138232882,4.399265966429486
2007-03-05,1387.1099853515625,1374.1199951171875,1436.0615173339843,1394.064013671875,1387.1700439453125,1403.1700439453125,1406.8199462890625,2.8012499809265137,88.24321827732932,4.405755443286999
2007-03-06,1374.06005859375,1395.4100341796875,1433.48251953125,1393.3380126953125,1374.1199951171875,1387.1700439453125,1403.1700439453125,2.8179171085357666,88.17560105643287,4.408709852704929
2007-03-07,1395.02001953125,1391.969970703125,1430.6810180664063,1390.368017578125,1395.4100341796875,1374.1199951171875,1387.1700439453125,2.834167003631592,88.10695256398733,4.412001071077334
2007-03-08,1391.8800048828125,1401.8900146484375,1428.2745178222656,1390.11201171875,1391.969970703125,1395.4100341796875,1374.1199951171875,2.8566670417785645,88.037620519906,4.415593731703044
2007-03-09,1401.8900146484375,1402.8399658203125,1426.0010131835938,1393.24599609375,1401.8900146484375,1391.969970703125,1395.4100341796875,2.9549999237060547,87.96795264410225,4.419452467880894
2007-03-12,1402.800048828125,1406.5999755859375,1424.4280090332031,1399.7419921875,1402.8399658203125,1401.8900146484375,1391.969970703125,2.946249961853028,87.76041122549002,4.432271462715572
2007-03-13,1406.22998046875,1377.949951171875,1421.6570068359374,1396.2499755859376,1406.5999755859375,1402.8399658203125,1401.8900146484375,2.9262499809265137,87.69287722193012,4.436840834090276
2007-03-14,1377.8599853515625,1387.1700439453125,1418.802508544922,1395.289990234375,1377.949951171875,1406.5999755859375,1402.8399658203125,2.8333330154418945,87.62674598621452,4.441499447511272
2007-03-15,1387.1099853515625,1392.280029296875,1415.6515075683594,1393.3679931640625,1387.1700439453125,1377.949951171875,1406.5999755859375,2.8729169368743896,87.56236523825662,4.446211936277389
2007-03-16,1392.280029296875,1386.949951171875,1412.1585021972655,1390.189990234375,1392.280029296875,1387.1700439453125,1377.949951171875,2.8041670322418213,87.50008269796972,4.4509429336874575
2007-03-19,1386.949951171875,1402.06005859375,1409.4845031738282,1389.2820068359374,1386.949951171875,1392.280029296875,1387.1700439453125,2.8383328914642334,87.32930152226876,4.464893310769688
2007-03-20,1402.0400390625,1410.93994140625,1407.0474975585937,1395.8800048828125,1402.06005859375,1386.949951171875,1392.280029296875,2.797916889190674,87.27888901179949,4.469344675743875
2007-03-21,1410.9200439453125,1435.0400390625,1405.9179992675781,1405.45400390625,1410.93994140625,1402.06005859375,1386.949951171875,2.8333330154418945,87.23231330856801,4.473637715856166
2007-03-22,1435.0400390625,1434.5400390625,1404.8260009765625,1413.906005859375,1435.0400390625,1410.93994140625,1402.06005859375,2.897083044052124,87.18992213248764,4.477737064405395
2007-03-23,1434.5400390625,1436.1099853515625,1404.072003173828,1423.7380126953126,1434.5400390625,1435.0400390625,1410.93994140625,2.882499933242798,87.15206320347177,4.481607354690392
2007-03-26,1436.1099853515625,1437.5,1403.4785034179688,1430.8260009765625,1436.1099853515625,1434.5400390625,1435.0400390625,2.899583101272583,87.06915709794448,4.491490208948295
2007-03-27,1437.489990234375,1428.6099853515625,1404.9570007324219,1434.360009765625,1437.5,1436.1099853515625,1434.5400390625,2.884999990463257,87.05290435632,4.494090599164669
2007-03-28,1428.3499755859375,1417.22998046875,1405.4775024414062,1430.797998046875,1428.6099853515625,1437.5,1436.1099853515625,2.8258330821990967,87.04292246132678,4.496285097610964
2007-03-29,1417.1700439453125,1422.530029296875,1406.4455017089845,1428.39599609375,1417.22998046875,1428.6099853515625,1437.5,2.8299999237060547,87.03955913287808,4.498038337586011
2007-03-30,1422.52001953125,1420.8599853515625,1408.1299987792968,1425.34599609375,1422.530029296875,1417.22998046875,1428.6099853515625,2.7891669273376465,87.04316209088734,4.499314952388641
2007-04-02,1420.8299560546875,1424.550048828125,1410.6515014648437,1422.756005859375,1420.8599853515625,1422.530029296875,1417.22998046875,2.775000095367432,87.09924588279614,4.499931395244819
2007-04-03,1424.27001953125,1437.77001953125,1412.7695007324219,1424.5880126953125,1424.550048828125,1420.8599853515625,1422.530029296875,2.766666889190674,87.13401833442587,4.498965630566565
2007-04-04,1437.75,1439.3699951171875,1415.139501953125,1429.016015625,1437.77001953125,1424.550048828125,1420.8599853515625,2.829166889190674,87.17640586716946,4.497433422551613
2007-04-05,1438.93994140625,1443.760009765625,1417.2330017089844,1433.26201171875,1439.3699951171875,1437.77001953125,1424.550048828125,2.875,87.22563905878235,4.495377937212722
2007-04-09,1443.77001953125,1444.6099853515625,1419.3215026855469,1438.01201171875,1443.760009765625,1439.3699951171875,1437.77001953125,2.90958309173584,87.4756399144357,4.482786542872951
2007-04-10,1444.5799560546875,1448.3900146484375,1421.4110046386718,1442.7800048828126,1444.6099853515625,1443.760009765625,1439.3699951171875,2.905833005905152,87.5475600257768,4.478762161105754
2007-04-11,1448.22998046875,1438.8699951171875,1424.4570068359376,1443.0,1448.3900146484375,1444.6099853515625,1443.760009765625,2.977916955947876,87.62170924613986,4.474473498091173
2007-04-12,1438.8699951171875,1447.800048828125,1427.488507080078,1444.6860107421876,1438.8699951171875,1448.3900146484375,1444.6099853515625,2.9083330631256104,87.69731815055039,4.469963719841967
2007-04-13,1447.800048828125,1452.8499755859375,1430.5170043945313,1446.50400390625,1447.800048828125,1438.8699951171875,1448.3900146484375,2.930833101272583,87.77361731403387,4.465275992370897
2007-04-16,1452.8399658203125,1468.3299560546875,1434.586004638672,1451.247998046875,1452.8499755859375,1447.800048828125,1438.8699951171875,2.964582920074463,87.99896210917618,4.450576774754082
2007-04-17,1468.469970703125,1471.47998046875,1438.0570007324218,1455.8659912109374,1468.3299560546875,1452.8499755859375,1447.800048828125,2.9962499141693115,88.0703280592058,4.445608910523143
2007-04-18,1471.469970703125,1472.5,1441.1350036621093,1462.5919921875,1471.47998046875,1468.3299560546875,1452.8499755859375,3.0891671180725098,88.13853714343563,4.440678927134134
2007-04-19,1472.47998046875,1470.72998046875,1442.919500732422,1467.177978515625,1472.5,1471.47998046875,1468.3299560546875,3.0883328914642334,88.20281993689106,4.435829990599816
2007-04-20,1470.68994140625,1484.3499755859375,1445.4099975585937,1473.477978515625,1470.72998046875,1472.5,1471.47998046875,3.2816669940948486,88.26240701459758,4.431105266932946
2007-04-23,1484.3299560546875,1480.9300537109375,1447.6510009765625,1475.997998046875,1484.3499755859375,1470.72998046875,1472.5,3.2083330154418945,88.40529970347824,4.418108033264625
2007-04-24,1480.9300537109375,1480.4100341796875,1449.7965026855468,1477.7840087890625,1480.9300537109375,1484.3499755859375,1470.72998046875,3.306250095367432,88.43840966844363,4.414311821195144
2007-04-25,1480.280029296875,1495.4200439453125,1453.1370056152343,1482.368017578125,1480.4100341796875,1480.9300537109375,1484.3499755859375,3.3550000190734863,88.46297679278742,4.410855652056909
2007-04-26,1495.27001953125,1494.25,1456.9880065917969,1487.072021484375,1495.4200439453125,1480.4100341796875,1480.9300537109375,3.396250009536743,88.47823165153498,4.407782691862678
2007-04-27,1494.2099609375,1494.0699462890625,1460.5650024414062,1489.016015625,1494.25,1495.4200439453125,1480.4100341796875,3.356250047683716,88.48340481971184,4.405136106625211
2007-04-30,1494.0699462890625,1482.3699951171875,1463.6405029296875,1489.30400390625,1494.0699462890625,1494.25,1495.4200439453125,3.275000095367432,88.43073993107251,4.400186260780987
